code_bytes,code_files,language,languages,marker_hits,py_files,reason,repo,repo_url,size_kb,stars,violations,vuln_count_bare_except,vuln_count_debug,vuln_count_insecure_hash,vuln_count_no_exec_shell,vuln_count_no_hardcoded,vuln_count_no_network,vuln_count_sql
4417881,84,,"{""Python"": 72, ""C"": 8, ""C/C++"": 3, ""Shell"": 1}",CLAUDE.md,72,CLAUDE.md,rpmuller/pyquante2,https://github.com/rpmuller/pyquante2,0,0,1,1,0,0,0,0,0,0
85299,42,,"{""Java"": 36, ""JavaScript"": 4, ""SQL"": 1, ""Shell"": 1}",none,0,CLAUDE.md,hyunolike/insurance-claims-platform,https://github.com/hyunolike/insurance-claims-platform,0,0,2,0,0,0,0,0,2,0
59655,33,,"{""Python"": 33}",CLAUDE.md,33,CLAUDE.md,the-cafe/git-ai-commit,https://github.com/the-cafe/git-ai-commit,0,0,7,0,0,0,2,2,2,1
87888,20,,"{""TypeScript"": 18, ""JavaScript"": 2}",claude.md,0,CLAUDE.md,pantheon-upstreams/nextjs15-cache-starter,https://github.com/pantheon-upstreams/nextjs15-cache-starter,0,0,13,0,0,0,0,0,13,0
1219208,242,,"{""TypeScript"": 130, ""Go"": 84, ""SQL"": 20, ""JavaScript"": 5, ""Shell"": 3}",CLAUDE.md;AGENTS.md,0,CLAUDE.md,dxe/adb,https://github.com/dxe/adb,0,0,117,6,0,0,66,11,1,33
139202,41,,"{""JavaScript"": 40, ""Shell"": 1}",none,0,CLAUDE.md,JasonMaggard/wcag-audit,https://github.com/JasonMaggard/wcag-audit,0,0,4,0,0,0,3,0,1,0
358186,82,,"{""Python"": 82}",AGENTS.md;claude.md,82,CLAUDE.md,mbadawy1/AYMB_WhatsApp,https://github.com/mbadawy1/AYMB_WhatsApp,0,0,5,0,0,0,4,0,0,1
452514,81,,"{""TypeScript"": 77, ""SQL"": 4}",CLAUDE.md,0,CLAUDE.md,Punxworx-Holdings-Ltd/ltx-overwatch,https://github.com/Punxworx-Holdings-Ltd/ltx-overwatch,0,0,10,0,0,0,0,3,6,1
148118,27,,"{""Python"": 26, ""Shell"": 1}",CLAUDE.md,26,CLAUDE.md,pvnick/hogtown,https://github.com/pvnick/hogtown,0,0,43,0,0,0,0,41,2,0
351571,63,,"{""TypeScript"": 59, ""JavaScript"": 3, ""Shell"": 1}",claude.md,0,CLAUDE.md,FotionOrg/Fotion,https://github.com/FotionOrg/Fotion,0,0,8,0,0,0,0,5,3,0
